State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.13072	3.17155	3.18516	2.76320	2.53180	2.54541	2.72236	2.96737	3.02182	3.18516	2.92654	3.08988	2.58624	2.84487	2.84487	2.76320	2.36845	2.06900	2.43651	2.69514	2.45013
2	3.07551	3.22104	2.94939	3.07551	3.01730	3.13372	3.34717	3.07551	2.98820	2.98820	3.24045	3.56061	3.77405	3.36657	3.60912	3.35687	3.23074	3.26955	3.23074	3.05611	3.19194
3	4.77109	4.60687	4.29571	4.14877	4.08827	3.66475	3.21530	3.22394	3.37952	3.18937	2.87821	2.72263	2.58434	2.76585	2.84364	3.07701	3.39681	3.30173	2.94736	3.00786	3.15480
4	4.59418	4.42779	4.49249	4.45552	4.35384	4.45552	4.47401	4.29837	3.91938	3.89165	3.75299	3.43870	3.48492	3.25382	3.13365	3.06895	3.18912	3.35551	3.56811	3.54963	3.37399
5	1.45537	1.44554	1.41210	1.42587	1.46324	1.43767	1.41210	1.38260	1.38260	1.25870	1.18790	1.20560	1.13086	1.08563	1.07383	1.09546	1.03646	1.03449	1.06596	1.04236	1.07579
6	3.33619	3.34563	3.36308	3.37398	3.40305	3.41541	3.40960	3.41105	3.40305	3.40305	3.42704	3.41541	3.42268	3.42050	3.38779	3.36017	3.32238	3.25841	3.20754	3.16756	3.10650
7	1.04136	1.02546	1.01751	0.97141	0.90781	0.90940	0.88714	0.88555	0.86966	0.90463	0.90463	0.85217	0.86807	0.88714	0.87125	0.83468	0.85058	0.88396	0.88873	0.89668	0.88396
8	1.54683	1.42784	1.57928	1.68745	1.69827	1.66582	1.70909	1.60092	1.60092	1.49275	1.38458	1.40621	1.44948	1.53601	1.54683	1.44948	1.44948	1.37376	1.34131	1.34131	1.44948
9	1.41666	1.45959	1.49472	1.50642	1.49472	1.52984	1.68595	1.71327	1.68595	1.65863	1.57277	1.68595	1.74839	1.80303	1.75619	1.81083	1.81083	1.76400	1.76010	1.69765	1.64302
10	1.05949	1.05869	1.06589	1.07350	1.08230	1.06549	1.04468	1.04308	1.03787	1.04468	1.07069	1.05949	1.06789	1.08830	1.09151	1.09391	1.09911	1.11512	1.12513	1.14114	1.14554
11	0.68790	0.69083	0.69166	0.69111	0.69105	0.69194	0.69188	0.69470	0.69845	0.70105	0.70646	0.70668	0.70839	0.70911	0.71082	0.71286	0.71690	0.72060	0.72330	0.72678	0.73147
12	0.85146	0.65218	0.57971	0.61595	0.92392	0.83334	0.68841	0.59783	0.70653	0.85146	0.43479	0.68841	0.61595	0.43479	0.52537	0.77899	0.79711	0.76088	0.85146	0.81522	0.63406
13	1.07983	1.07614	1.08081	1.08081	1.08277	1.08793	1.09383	1.08916	1.08793	1.09088	1.08990	1.08400	1.07934	1.07565	1.07295	1.07074	1.07221	1.06582	1.06115	1.05649	1.05771
14	2.33951	2.42753	2.38120	2.46922	2.37657	2.50165	2.65916	2.86300	2.88617	2.87227	2.65453	2.88153	2.82594	2.70549	2.73792	2.79815	2.66843	2.73792	2.67770	2.61284	2.59894
15	1.13152	1.08982	1.07712	1.08256	1.07894	1.07350	1.08982	1.04992	1.04086	1.02272	1.00459	1.00640	1.01909	1.02997	1.04992	1.04267	1.04086	1.04811	1.05355	1.06080	1.05536
