State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	5.29837	6.41572	8.92674	14.41734	22.07054	30.24037	36.52393	35.74299	29.84389	34.66169	36.07939	21.56594	21.85428	22.99566	22.61119	19.95600	16.20749	11.46179	8.04968	5.58672	4.22909
2	3.80215	4.68418	5.60903	7.29602	9.91642	15.10584	24.13166	38.07288	53.03314	58.89907	56.19304	40.63334	25.62170	15.74809	10.53298	7.27033	5.18942	3.97342	3.13420	2.62040	2.26930
3	5.42421	6.55330	8.47580	11.49688	16.49386	23.83294	31.04233	35.32981	35.94776	31.24068	34.25413	57.88871	68.50826	70.94190	61.99310	44.85841	28.20435	17.73738	11.64183	8.16301	6.26339
4	13.04631	15.14319	16.75868	17.03609	15.45323	11.36555	6.37221	3.86739	2.72512	2.38244	2.44771	2.64353	3.74500	7.51448	18.77396	36.47093	50.74110	55.31833	53.11538	46.69421	39.38371
5	1.08321	0.89573	0.79679	0.75513	0.70999	0.67874	0.69958	0.68569	0.67701	0.70652	0.74124	0.71693	0.68048	0.65444	0.66659	0.68742	0.70826	0.87664	1.16827	1.66128	2.23413
6	1.57178	1.49287	1.41909	1.30811	1.18878	1.07138	0.98284	0.90522	0.86737	0.87378	0.87955	0.89367	0.93409	0.96488	1.01107	1.09640	1.23433	1.42872	1.60386	1.77579	1.92527
7	1.87480	1.63343	1.25454	0.92477	0.68481	0.54588	0.44905	0.41537	0.41537	0.37047	0.31855	0.32977	0.35924	0.40836	0.44484	0.56974	0.92758	1.70640	2.66626	3.68084	4.47370
8	2.38690	2.45374	2.47283	2.27233	1.89043	1.68993	1.34621	1.06933	0.82109	0.70652	0.72562	0.68743	0.76381	0.84974	0.85929	0.94521	1.26028	1.46078	1.89043	2.20550	2.60650
9	1.93591	2.09781	2.24593	2.42161	2.60073	2.68685	2.72818	2.19426	1.53977	1.31242	1.27108	1.10574	0.98862	0.99551	1.07474	1.12985	1.19186	1.18497	1.14363	1.11952	1.18841
10	2.33170	2.31616	2.26740	2.13739	1.93991	1.63431	1.24004	0.89912	0.69633	0.62991	0.59882	0.58611	0.61613	0.64122	0.68079	0.73625	0.80196	0.85142	0.89241	0.92456	0.93409
11	0.50058	0.49156	0.48289	0.47148	0.45749	0.44258	0.42878	0.41782	0.41041	0.40704	0.40397	0.40641	0.40977	0.41231	0.41601	0.42206	0.43029	0.43561	0.44185	0.44594	0.44906
12	0.62362	0.65560	0.75154	0.68758	0.67159	0.62362	0.49569	0.46371	0.47970	0.35178	0.43173	0.39975	0.33579	0.55966	0.57565	0.59164	0.49569	0.57565	0.49569	0.51168	0.49569
13	1.35690	1.34671	1.33066	1.30854	1.27580	1.22202	1.16368	1.10469	1.05655	1.02706	1.02749	1.03313	1.04658	1.06327	1.09689	1.12920	1.15154	1.17344	1.19166	1.20033	1.21356
14	2.03225	2.11403	2.12630	2.23670	2.04043	1.85233	1.77055	1.70104	1.75011	2.03634	1.81144	1.37392	1.14493	1.14493	1.09586	1.12857	1.30440	1.46797	1.46797	1.49250	1.39845
15	0.80987	0.81307	0.83068	0.82908	0.84989	0.87710	0.88510	0.88510	0.91391	0.89310	0.91231	0.92511	0.93952	0.91391	0.87069	0.84028	0.77786	0.74425	0.69623	0.67223	0.64182
