State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.25543	38.60811	4.65913	1.06604	2.92684	36.08050	19.04456	0.35532
2	0.35836	43.46531	6.25573	1.07342	3.24078	56.19476	17.19333	0.35123
3	0.40226	45.11689	8.01563	1.92697	2.87851	34.24755	24.94561	0.23556
4	0.37612	2.47445	3.46204	2.23444	3.75338	2.44779	16.81429	0.19887
5	1.76782	0.57164	1.62141	2.28662	1.18605	0.74126	0.87999	0.12908
6	4.78347	1.54254	3.25174	2.07782	3.42667	0.87958	1.25346	0.22582
7	2.18686	0.28719	1.01817	2.25216	0.90473	0.31856	1.04223	0.23192
8	0.32142	0.44187	1.40879	2.05615	1.38472	0.72564	1.47510	0.36792
9	0.89088	0.49707	1.36536	0.97735	1.57293	1.27112	1.70623	0.71117
10	8.68640	0.49729	0.90566	0.78908	1.07081	0.59884	1.19899	0.80821
11	62.96025	0.39160	0.68853	0.84153	0.70653	0.40399	0.46987	1.13571
12	0.19192	0.29043	0.77195	0.93766	0.43483	0.43175	0.57091	1.31647
13	14.15096	0.75462	1.01563	1.05959	1.09001	1.02752	1.26209	1.13005
14	0.75049	2.42071	2.42194	1.13008	2.65018	1.81150	1.73514	0.73539
15	1.91736	2.27135	1.13170	0.74581	1.00469	0.91234	0.79320	0.90001
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
