State (Emission order)	H3K79me2	H4K20me1	H3K4me3	H3K9ac	H3K27ac	H2AFZ	CTCF	H3K27me3	EZH2	H3K9me3
1	0.045787445178409075	0.08246904122489787	0.7527744437032795	0.41621049170649965	0.09676311139077072	0.5564050503011397	0.18365830387595627	0.18588421429627922	0.24441033615871308	0.04770077932932866
2	0.043512487181255215	0.006424204112734505	0.9487432163932662	0.9669628283112475	0.9374344540453594	0.8427308997866414	0.25888189058190236	0.0037905645162685585	0.102529790245949	0.0035777874499095573
3	0.9709570940672464	0.15767028200452585	0.9991468856654112	0.9986375160957329	0.957073825939714	0.7769630984494634	0.21660837956204498	0.002428148445254094	0.09841815199688106	0.0022344826994602747
4	0.9784926726171719	0.5796527568414315	0.9095077220591022	0.6456519747534926	0.34470072882956043	0.007598370873414518	0.03039785629071501	8.943359970577066E-4	0.033914242451953305	0.008705899112751523
5	0.9658330861987722	0.7734893206651162	0.006207224012606447	0.049290150844378634	0.04401220593893771	6.569201935693054E-5	0.02095857957646312	1.2789614627375026E-4	0.024984468424356043	0.0015494705419563414
6	0.052401530671607445	0.1217451438472589	9.66936263999917E-5	0.022823041847187905	0.00939358231384575	2.10398458012583E-4	0.006097245206706816	0.0011133691286750588	0.02057975543402037	6.163547598351665E-4
7	0.626424796103802	0.08155011368814238	0.002689657947799879	0.022108290059866368	0.007087213241884309	1.90544976590803E-4	0.0040333296302955905	3.227580257533617E-5	0.017716573509460955	0.028173535216228247
8	0.8692759682057035	0.24842409526004688	0.039543650680111175	0.3878586313204043	0.8540275978677756	0.019666695756581348	0.05273522093395596	4.2264686544814536E-5	0.03891087755206572	0.008108486367269921
9	0.014152667254839137	0.008172906989039922	0.015612323874031742	0.3939174033722594	0.86013744477329	0.2473021704051469	0.06276333645255558	0.0013388685133813312	0.044887061609830685	0.017523133597952077
10	1.8303949174649988E-4	5.571460280608719E-4	8.481045795551164E-6	0.017035582983766128	0.009738027625023904	0.03880355808716304	0.0018825321496088259	9.733810516208818E-4	0.026638730243292642	0.0037348013355134255
11	4.890157460142844E-5	7.34633556029751E-4	5.401077349090073E-6	0.004454093252253342	6.085321499547629E-5	0.0017897683110576887	4.559246481931606E-4	0.003777917579529634	0.018119865503705385	0.0035071301096874204
12	6.100447596200917E-5	0.004870290507354662	1.2830125576366026E-136	0.020057070273648267	6.855887878922004E-4	0.02027194801703293	2.6979268558436805E-25	0.04549174711472776	0.686350798082502	0.02184865123732064
13	6.267027854798421E-6	0.014163407917045293	2.2451822164694383E-5	0.009830464100350185	9.846976799483134E-5	0.004999593671653416	0.0017967709546884746	0.1959602279746915	0.08091740912253349	0.001176108735546724
14	0.0047109378985863955	0.06095071556899569	0.0012222825405665714	0.029699810826902158	0.015970701038336477	0.06428422560954625	0.9283604796883296	0.054606550153674965	0.07019690034194091	0.005785264912877888
15	0.00521096930824361	0.0010991859625190603	0.010881127124382547	0.003653116040861584	0.00362801970943878	0.012339192409863423	0.006336579373540614	0.002205751101658716	0.03146171914620128	0.45084603660226874
