15	10	E	-9636362.400170617	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.9190206580362691
probinit	12	0.0
probinit	13	0.040512311652117244
probinit	14	0.040467030311613514
probinit	15	4.2163E-319
transitionprobs	1	1	0.6075509945025648
transitionprobs	1	2	0.12869938428622274
transitionprobs	1	3	0.03994810087215028
transitionprobs	1	4	0.004713213345636551
transitionprobs	1	5	1.293050164370061E-5
transitionprobs	1	6	0.025123072565295418
transitionprobs	1	7	2.4509650232823466E-4
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	0.06951172286688999
transitionprobs	1	11	0.03707530041376637
transitionprobs	1	12	6.573376882355338E-4
transitionprobs	1	13	0.05386971568981915
transitionprobs	1	14	0.01730302187909138
transitionprobs	1	15	0.015290108886355768
transitionprobs	2	1	0.0892610756895258
transitionprobs	2	2	0.6964148029719047
transitionprobs	2	3	0.10018135587495076
transitionprobs	2	4	0.0
transitionprobs	2	5	0.0
transitionprobs	2	6	9.85709077395616E-4
transitionprobs	2	7	3.572940781697299E-5
transitionprobs	2	8	0.002409731600506449
transitionprobs	2	9	0.08888739951672868
transitionprobs	2	10	0.018521666785261598
transitionprobs	2	11	8.849935867228937E-4
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	0.002417535489186592
transitionprobs	2	15	0.0
transitionprobs	3	1	0.024875636101527147
transitionprobs	3	2	0.09139695855245271
transitionprobs	3	3	0.7790975693359378
transitionprobs	3	4	0.08500859935486968
transitionprobs	3	5	0.0
transitionprobs	3	6	6.495906283776326E-4
transitionprobs	3	7	0.0011103386483802668
transitionprobs	3	8	0.01507736547505311
transitionprobs	3	9	7.492966465199376E-4
transitionprobs	3	10	0.001952775804800693
transitionprobs	3	11	4.0089468524200985E-5
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
transitionprobs	3	14	1.2214424111812313E-5
transitionprobs	3	15	2.956555944499907E-5
transitionprobs	4	1	0.0031578914173631453
transitionprobs	4	2	0.0
transitionprobs	4	3	0.08797872515335459
transitionprobs	4	4	0.8023699948371086
transitionprobs	4	5	0.0365864079176864
transitionprobs	4	6	0.0057142551769654645
transitionprobs	4	7	0.060617013151709864
transitionprobs	4	8	0.0035348121808180862
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	0.0
transitionprobs	4	13	0.0
transitionprobs	4	14	4.090016499391663E-5
transitionprobs	4	15	0.0
transitionprobs	5	1	0.0
transitionprobs	5	2	0.0
transitionprobs	5	3	0.0
transitionprobs	5	4	0.0073206122631411805
transitionprobs	5	5	0.8675121676207602
transitionprobs	5	6	0.014043904971007158
transitionprobs	5	7	0.10951364808539472
transitionprobs	5	8	0.0013347224218186115
transitionprobs	5	9	0.0
