State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.6075509945025648	0.12869938428622274	0.03994810087215028	0.004713213345636551	1.293050164370061E-5	0.025123072565295418	2.4509650232823466E-4	0.0	0.0	0.06951172286688999	0.03707530041376637	6.573376882355338E-4	0.05386971568981915	0.01730302187909138	0.015290108886355768
2	0.0892610756895258	0.6964148029719047	0.10018135587495076	0.0	0.0	9.85709077395616E-4	3.572940781697299E-5	0.002409731600506449	0.08888739951672868	0.018521666785261598	8.849935867228937E-4	0.0	0.0	0.002417535489186592	0.0
3	0.024875636101527147	0.09139695855245271	0.7790975693359378	0.08500859935486968	0.0	6.495906283776326E-4	0.0011103386483802668	0.01507736547505311	7.492966465199376E-4	0.001952775804800693	4.0089468524200985E-5	0.0	0.0	1.2214424111812313E-5	2.956555944499907E-5
4	0.0031578914173631453	0.0	0.08797872515335459	0.8023699948371086	0.0365864079176864	0.0057142551769654645	0.060617013151709864	0.0035348121808180862	0.0	0.0	0.0	0.0	0.0	4.090016499391663E-5	0.0
5	0.0	0.0	0.0	0.0073206122631411805	0.8675121676207602	0.014043904971007158	0.10951364808539472	0.0013347224218186115	0.0	0.0	0.0	0.0	0.0	2.749446378780542E-4	0.0
6	0.0012261461690661628	1.19281083892232E-4	7.822606704952214E-5	4.244746882866634E-4	0.005002939414270013	0.964305846478282	0.009878161448762534	0.0011338124621901513	0.0014397727650779257	0.0	0.009803276755978599	0.0	5.502112901886134E-4	0.005696636675735389	3.412147012202299E-4
7	4.054520718140447E-5	0.0	1.44546184766673E-4	0.01039926176966767	0.09141405616932276	0.021895616127361822	0.8645457433641899	0.010216975245829782	1.4967343522985317E-5	0.0	4.164441881283792E-4	0.0	0.0	1.2359039168061949E-8	9.1183204098937E-4
8	7.359744002691289E-8	0.0023904441576537015	0.018279372083144965	0.004583879574580581	0.008798517075870873	0.01648224757024687	0.06657823865493154	0.8588095975945403	0.022941610570945677	0.0	0.0	0.0	0.0	0.001099542745245086	3.6476375400428694E-5
9	2.9089395025830062E-5	0.03622397317341447	5.011325418874572E-4	7.561777302195349E-6	0.0	0.007733899348333132	0.0	0.008499239658464677	0.8152586986455891	0.1247385362596498	0.001166738255234959	7.014005155796049E-5	0.0	0.0036633589229341443	0.0021076319706062868
10	0.0019192503165450618	7.579948946688303E-4	6.400998289444635E-5	0.0	0.0	0.0	0.0	0.0	0.011899784742047264	0.9683461412501299	0.004973242047431526	0.001519956079468514	0.0010500202698633585	0.005315774640513472	0.004153825776437689
11	1.6819309389100453E-4	5.800453288690857E-6	2.104189796611375E-6	0.0	0.0	7.814144700013713E-4	5.359307431412968E-6	0.0	7.498251830991588E-7	7.544676652140167E-4	0.9807399577823761	0.008739915378044808	0.0036148629639018172	0.002099964839322352	0.0030872100315486955
12	5.248439682470392E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0220110611498458	0.807705475983395	0.1421120337111742	0.024999262893438765	0.002596991167457597	5.033112644169165E-5
13	9.705154917496908E-4	0.0	0.0	0.0	0.0	1.4686864820208787E-4	0.0	0.0	8.849983774255273E-6	6.975166511715169E-4	0.015411027404892913	0.0010906338381966724	0.9765128532208287	0.0049489200077635735	2.128147534209013E-4
14	0.006080199636778843	0.001154145400549168	1.3390558616910022E-5	4.3344952563558445E-5	7.485066376730271E-4	0.03559158690361834	0.0	4.390209546928562E-4	0.004436676095351627	0.06688180009286938	0.16255828245099982	0.0030965931339180294	0.09122179449332435	0.6266074569800366	0.001127201709007475
15	0.0016790079820003794	0.0	3.580816014000827E-6	0.0	0.0	6.411477309402685E-4	8.77712645402428E-4	0.0	8.690048021920367E-4	0.017747072774497302	0.08626341505143499	1.2336807509718355E-4	0.0015972887414043902	2.925822957879776E-4	0.8899058190852289
